id	WT	PH	TP	TN	area	average water depth	volume	water level
DCL-1	22.13	8.45	0.544	5.815	308.6	4.4	11.69	1887.4
DCL-2	21.8	8.63	0.351	4.816	308.6	4.4	11.69	1887.4
XYL-1	25.08	8.88	0.468	5.181	34.7	7	1.84	1722
XYL-2	23.8	9.45	0.581	4.151	34.7	7	1.84	1722
EL-1	23.5	9.51	0.032	0.57	249.8	10.5	25.31	1971
EL-2	22.2	8.66	0.031	0.593	249.8	10.5	25.31	1971
FXL-1	16.91	8.04	0.022	0.22	211	87	189	1721
FXL-2	22.4	8.94	0.02	0.168	211	87	189	1721
LGL-1	15.19	8.18	0.024	0.048	48.25	40.3	19.53	2690.75
LGL-2	20.87	8.76	0.013	0.103	48.25	40.3	19.53	2690.75
